round,client_id,loss,comm_time,epoch
1,0,2.5418,3.4931,5
1,1,2.3292,5.1715,5
2,0,2.4084,3.1339,5
2,1,2.3863,5.0651,5
3,0,2.8077,3.0709,5
3,1,2.1803,4.8012,5
4,0,2.4369,3.0596,5
4,1,2.6294,4.7253,5
5,0,2.2883,3.5530,5
5,1,2.1352,5.1840,5
6,0,2.4162,2.9846,5
6,1,2.1802,5.0130,5
7,0,2.0346,3.4531,5
7,1,2.0222,5.0855,5
8,0,2.5292,3.3448,5
8,1,2.2032,5.9419,5
9,0,2.4393,3.0219,5
9,1,2.3832,4.6116,5
10,0,2.5028,3.0462,5
10,1,2.3313,5.3587,5
11,0,2.5833,3.1113,5
11,1,2.3444,5.4030,5
12,0,1.9186,3.0678,5
12,1,2.2930,5.4407,5
13,0,2.1683,3.0219,5
13,1,2.2162,4.8121,5
14,0,2.2045,3.1519,5
14,1,2.3896,4.9163,5
15,0,2.1626,3.0213,5
15,1,2.1080,4.8293,5
16,0,1.9621,3.1601,5
16,1,1.8440,4.6489,5
17,0,2.2665,3.0627,5
17,1,2.1224,5.0392,5
18,0,2.3933,2.9337,5
18,1,2.1811,4.8296,5
19,0,2.1354,3.1836,5
19,1,2.1914,4.7473,5
20,0,1.9148,3.3266,5
20,1,2.1175,4.7322,5
21,0,2.0335,5.2660,5
21,1,2.0571,4.7187,5
22,0,2.1191,3.1670,5
22,1,2.0272,4.8722,5
23,0,1.8748,3.2188,5
23,1,1.8261,5.7941,5
24,0,2.0860,3.1917,5
24,1,2.1228,5.8218,5
25,0,2.1334,3.0099,5
25,1,2.0558,5.5090,5
26,0,1.9030,3.1342,5
26,1,2.0760,4.8460,5
27,0,2.0049,3.0818,5
27,1,1.8398,4.8338,5
28,0,1.9464,3.0984,5
28,1,1.8279,4.7862,5
29,0,2.0026,3.0385,5
29,1,1.9929,4.9132,5
30,0,1.8194,3.3823,5
30,1,2.0809,4.7748,5
31,0,1.8161,2.9875,5
31,1,2.0534,4.6117,5
32,0,2.1000,3.0710,5
32,1,1.8728,4.9281,5
33,0,1.9209,3.2866,5
33,1,1.7666,4.8491,5
34,0,2.0134,3.1341,5
34,1,1.8601,4.7001,5
35,0,1.7507,3.1038,5
35,1,1.7845,5.6889,5
36,0,1.7331,3.9598,5
36,1,1.9239,5.8727,5
37,0,1.7347,3.4904,5
37,1,1.8609,4.8805,5
38,0,1.8197,3.5363,5
38,1,1.6550,4.6834,5
39,0,1.7457,4.2657,5
39,1,1.9725,4.6806,5
40,0,1.8100,3.1736,5
40,1,1.7430,4.6573,5
41,0,1.8938,3.0997,5
41,1,1.7313,4.6984,5
42,0,1.9643,3.2138,5
42,1,1.6032,4.6562,5
43,0,1.7110,3.2174,5
43,1,1.6533,4.7750,5
44,0,1.6240,3.3047,5
44,1,1.6791,4.7875,5
45,0,1.6531,3.1491,5
45,1,1.7302,4.6828,5
46,0,1.6148,3.2178,5
46,1,1.4885,4.8238,5
47,0,1.6894,3.0193,5
47,1,1.5918,5.7540,5
48,0,1.7862,3.0182,5
48,1,1.7929,5.8869,5
49,0,1.8173,4.2640,5
49,1,1.8432,5.2633,5
50,0,1.6533,3.3809,5
50,1,1.7359,4.9719,5
51,0,1.7735,3.4536,5
51,1,1.6874,4.7822,5
52,0,1.5490,3.0720,5
52,1,1.6650,4.7914,5
53,0,1.5340,3.2837,5
53,1,1.6405,6.2821,5
54,0,1.7531,3.3342,5
54,1,1.6122,4.6843,5
55,0,1.7312,3.0916,5
55,1,1.4381,6.4318,5
56,0,1.8239,3.2439,5
56,1,1.5658,4.8489,5
57,0,1.6142,3.1057,5
57,1,1.5623,4.6913,5
58,0,1.8258,3.2827,5
58,1,1.6346,4.9648,5
59,0,1.6997,3.2151,5
59,1,1.6255,5.6350,5
60,0,1.5866,3.1374,5
60,1,1.5707,5.4678,5
61,0,1.7558,3.0340,5
61,1,1.7984,5.6331,5
62,0,1.6743,3.0333,5
62,1,1.5116,4.8770,5
63,0,1.4105,3.2322,5
63,1,1.6113,4.8476,5
64,0,1.5768,3.1802,5
64,1,1.5683,4.9393,5
65,0,1.6432,2.9926,5
65,1,1.4946,4.8660,5
66,0,1.5664,3.1707,5
66,1,1.6664,4.8339,5
67,0,1.5486,3.6781,5
67,1,1.5932,4.7390,5
68,0,1.7830,3.6004,5
68,1,1.7104,4.8295,5
69,0,1.4679,3.0660,5
69,1,1.6706,5.1030,5
70,0,1.6787,3.1358,5
70,1,1.6355,4.7547,5
71,0,1.5784,3.3036,5
71,1,1.4483,5.8099,5
72,0,1.7294,3.3244,5
72,1,1.6431,5.8323,5
73,0,1.6206,3.3213,5
73,1,1.5743,5.6688,5
74,0,1.4541,3.2743,5
74,1,1.4574,4.8117,5
75,0,1.5392,4.0735,5
75,1,1.5942,4.9048,5
76,0,1.6807,3.2541,5
76,1,1.4296,4.8276,5
77,0,1.6901,3.2902,5
77,1,1.4833,4.8619,5
78,0,1.4998,3.3946,5
78,1,1.4547,4.9213,5
79,0,1.5963,3.1377,5
79,1,1.6357,4.9236,5
80,0,1.6879,3.3629,5
80,1,1.5733,5.1597,5
81,0,1.6413,3.5711,5
81,1,1.6139,4.8449,5
82,0,1.4373,3.3330,5
82,1,1.4249,4.8604,5
83,0,1.5430,3.5459,5
83,1,1.7530,5.0658,5
84,0,1.4853,3.3158,5
84,1,1.6106,5.8553,5
85,0,1.6065,3.2924,5
85,1,1.5309,5.6271,5
86,0,1.5711,3.5763,5
86,1,1.7384,4.8525,5
87,0,1.6451,3.4656,5
87,1,1.6161,4.7445,5
88,0,1.6081,3.3149,5
88,1,1.9119,4.7807,5
89,0,1.6237,3.6111,5
89,1,1.5006,4.7830,5
90,0,1.4624,3.2950,5
90,1,1.6243,5.0125,5
91,0,1.6070,3.5937,5
91,1,1.5471,5.1225,5
92,0,1.4269,3.4538,5
92,1,1.4926,5.1056,5
93,0,1.6788,3.5278,5
93,1,1.6610,5.3792,5
94,0,1.5712,3.2875,5
94,1,1.5052,4.7127,5
95,0,1.6716,3.5245,5
95,1,1.4400,4.8908,5
96,0,1.4357,3.5563,5
96,1,1.6642,5.9492,5
97,0,1.6869,3.4727,5
97,1,1.7100,5.4413,5
98,0,1.6487,3.3278,5
98,1,1.5920,5.0824,5
99,0,1.6090,3.5035,5
99,1,1.5413,4.9006,5
100,0,1.5137,3.2291,5
100,1,1.6105,4.8077,5
