round,time_sec
1,17.3059
2,5.2932
3,5.1005
4,5.1524
5,5.0404
6,5.0856
7,4.9187
8,5.0607
9,5.0822
10,5.0898
11,5.8629
12,4.9599
13,5.2948
14,5.1294
15,5.0238
16,5.2329
17,5.1129
18,5.2028
19,4.9744
20,5.4511
21,4.9354
22,4.9625
23,5.2288
24,5.0569
25,5.1114
26,5.1170
27,5.0682
28,5.0133
29,5.0138
30,5.9717
31,6.2811
32,6.1089
33,6.1827
34,6.0330
35,5.7795
36,6.0037
37,5.7720
38,5.3814
39,4.9896
40,5.0234
41,5.1004
42,5.1913
43,4.8922
44,5.1008
45,4.9807
46,5.0832
47,5.0007
48,4.9638
49,4.8963
50,4.9790
51,5.0897
52,6.1263
53,4.6689
54,5.2668
55,5.1997
56,4.8506
57,4.9984
58,4.9983
59,5.3633
60,6.7511
61,6.1457
62,5.8904
63,6.0392
64,6.2491
65,6.3704
66,6.2858
67,6.0282
68,6.8966
69,6.6947
70,6.8938
71,7.2438
72,6.3647
73,6.4132
74,6.3042
75,6.3891
76,6.4546
77,6.1448
78,6.4075
79,6.2476
80,6.0138
81,5.1888
82,5.7900
83,5.2127
84,5.2647
85,5.5351
86,5.2864
87,5.4648
88,5.2439
89,5.3164
90,5.3221
91,5.1093
92,5.1949
93,5.8206
94,4.8591
95,5.1642
96,5.0703
97,4.9932
98,5.7524
99,5.1165
100,4.9415
