round,total_time_sec
1,28.5877
2,5.4825
3,5.7360
4,5.3160
5,3.7664
6,5.7166
7,3.8628
8,5.3792
9,5.3762
10,5.4996
11,5.3896
12,3.7580
13,4.1547
14,4.4125
15,4.2614
16,6.3736
17,4.5535
18,6.2595
19,4.5017
20,6.2951
21,4.6278
22,4.3773
23,4.0647
24,3.8255
25,3.8657
26,5.4393
27,5.6772
28,4.2180
29,4.4055
30,5.4650
31,5.3995
32,3.7605
33,5.4214
34,4.1324
35,3.9104
36,4.0329
37,3.9327
38,5.4660
39,5.6690
40,5.7973
41,5.9046
42,3.8152
43,3.9492
44,5.4693
45,5.6072
46,3.8654
47,4.2152
48,4.2996
49,5.4410
50,5.4328
51,5.3088
52,5.4413
53,4.2911
54,6.2217
55,4.3964
56,6.0765
57,6.2222
58,6.3930
59,6.1992
60,6.3279
61,4.2093
62,5.7620
63,3.9110
64,5.7553
65,5.3733
66,4.0910
67,5.4281
68,5.5238
69,3.8092
70,5.4989
71,5.5111
72,5.7441
73,3.9822
74,5.4751
75,5.5757
76,5.3665
77,5.4425
78,3.8170
79,3.8737
80,5.6125
81,5.5147
82,4.2542
83,3.7894
84,5.3133
85,4.0330
86,5.3623
87,4.1811
88,3.7836
89,3.8249
90,5.3532
91,5.6869
92,6.5060
93,4.6271
94,4.6155
95,4.6332
96,4.7262
97,4.5380
98,6.5357
99,4.0908
100,5.6237
