round,client_id,loss,comm_time,epoch
1,0,2.6722,14.5211,6
1,1,2.7214,22.8889,4
2,0,2.4824,3.6472,6
2,1,2.5251,3.9251,4
3,0,2.4804,3.5316,7
3,1,2.4583,3.8274,3
4,0,2.4085,4.0398,5
4,1,2.3550,2.9971,5
5,0,2.4829,2.9851,6
5,1,2.5249,4.7530,4
6,0,2.5979,3.5874,6
6,1,2.4328,3.7922,4
7,0,2.7840,3.4821,7
7,1,2.5551,3.7213,3
8,0,2.3110,4.0120,5
8,1,2.7133,3.0410,5
9,0,2.2607,3.0151,6
9,1,2.3857,4.6752,4
10,0,2.6189,3.4345,6
10,1,2.6931,3.8338,4
11,0,2.5259,3.4358,7
11,1,2.3723,3.7686,3
12,0,2.2520,4.2817,5
12,1,2.4870,3.0652,5
13,0,2.2054,3.0105,6
13,1,2.3918,4.6935,4
14,0,2.3819,3.5349,6
14,1,2.2693,3.9018,4
15,0,2.4122,3.5224,7
15,1,2.4931,3.7603,3
16,0,2.2668,4.5266,5
16,1,2.1407,3.1312,5
17,0,2.3400,3.1992,6
17,1,2.2809,4.5525,4
18,0,2.1092,3.4916,6
18,1,2.1610,4.0517,4
19,0,2.2508,3.4701,7
19,1,2.2319,3.7739,3
20,0,2.3627,4.0289,5
20,1,2.0024,3.2904,5
21,0,2.0804,3.0575,6
21,1,2.6374,4.6662,4
22,0,2.0486,3.5166,6
22,1,2.5848,3.7883,4
23,0,2.0334,3.7207,7
23,1,2.2717,4.0413,3
24,0,2.2961,4.3401,5
24,1,2.4118,3.6969,5
25,0,2.0967,3.3621,6
25,1,2.3201,5.7101,4
26,0,1.8535,3.5684,6
26,1,2.4828,4.6643,4
27,0,1.9702,3.7181,7
27,1,2.2998,4.6058,3
28,0,1.8864,4.3710,5
28,1,2.1413,3.4975,5
29,0,1.8225,2.9828,6
29,1,2.0030,5.5643,4
30,0,2.0213,3.5727,6
30,1,2.4105,4.3985,4
31,0,1.9134,3.5817,7
31,1,2.0185,4.4800,3
32,0,1.9440,3.9620,5
32,1,1.9069,3.3523,5
33,0,1.8677,2.9634,6
33,1,2.3423,4.9028,4
34,0,1.9784,3.8814,4
34,1,1.9604,3.8311,6
35,0,1.8707,2.4594,6
35,1,2.1513,5.3919,4
36,0,1.8781,3.4170,6
36,1,1.9064,3.7955,4
37,0,1.7245,3.4395,7
37,1,2.0071,3.7090,3
38,0,1.9290,3.9046,5
38,1,2.0312,3.1127,5
39,0,1.6135,2.9296,6
39,1,1.9762,4.5546,4
40,0,2.0044,3.7339,6
40,1,1.8664,3.8289,4
41,0,1.8984,3.6043,7
41,1,1.9608,3.7911,3
42,0,1.7181,4.0985,5
42,1,1.9734,3.0847,5
43,0,1.7757,3.2410,6
43,1,1.7607,4.7593,4
44,0,1.7098,3.4391,6
44,1,1.9214,3.8964,4
45,0,1.8236,3.5924,7
45,1,2.0243,3.7045,3
46,0,1.6889,3.9865,5
46,1,1.8055,3.1593,5
47,0,1.5792,2.9818,6
47,1,1.7894,4.6060,4
48,0,1.9112,3.6785,6
48,1,2.0550,3.7676,4
49,0,1.5613,3.4121,7
49,1,1.7084,3.8542,3
50,0,1.6737,4.2320,5
50,1,2.0525,2.9744,5
51,0,1.7076,3.4392,6
51,1,1.7780,4.6907,4
52,0,1.6023,3.5758,6
52,1,2.1744,3.8467,4
53,0,1.7502,3.6001,7
53,1,1.8250,3.8395,3
54,0,1.6283,3.9738,5
54,1,1.9511,3.0666,5
55,0,1.8268,3.0002,6
55,1,1.6700,4.5513,4
56,0,1.6394,3.4521,6
56,1,1.7801,3.7307,4
57,0,1.6268,3.7040,7
57,1,1.8785,3.7958,3
58,0,1.5196,4.0031,5
58,1,1.7294,3.1159,5
59,0,1.6628,2.9729,6
59,1,1.7659,4.5228,4
60,0,1.6560,3.4954,6
60,1,1.6749,3.9310,4
61,0,1.6024,3.5539,7
61,1,1.8456,3.8343,3
62,0,1.6853,4.0864,5
62,1,1.9136,3.0878,5
63,0,1.5270,3.0126,6
63,1,1.6676,4.6213,4
64,0,1.6236,3.4391,6
64,1,1.8050,4.0298,4
65,0,1.6850,3.4401,7
65,1,1.4055,3.8713,3
66,0,1.7392,4.0081,5
66,1,1.6223,3.0046,5
67,0,1.6521,3.0691,6
67,1,1.5965,5.2803,4
68,0,1.7486,4.0258,6
68,1,1.5110,4.3850,4
69,0,1.5030,3.5502,7
69,1,1.5503,4.5522,3
70,0,1.7220,4.0060,5
70,1,1.8885,3.6448,5
71,0,1.4658,2.9777,6
71,1,1.5857,5.6316,4
72,0,1.6600,3.5124,6
72,1,1.5476,4.5116,4
73,0,1.7906,3.8355,7
73,1,1.6573,4.4507,3
74,0,1.5797,4.0337,5
74,1,1.5781,3.5797,5
75,0,1.4113,3.0563,6
75,1,1.5647,5.4039,4
76,0,1.6757,4.0169,6
76,1,1.6088,4.1942,4
77,0,1.5886,3.7639,7
77,1,1.8512,3.8923,3
78,0,1.6800,4.2419,5
78,1,1.6912,3.3180,5
79,0,1.4634,3.0653,6
79,1,1.5388,4.6530,4
80,0,1.4475,3.8170,4
80,1,1.5456,3.6811,6
81,0,1.4935,2.9799,6
81,1,1.6664,5.4502,4
82,0,1.5706,3.8193,4
82,1,1.5212,3.7225,6
83,0,1.4846,2.4832,6
83,1,1.6942,5.3927,4
84,0,1.5275,3.9710,4
84,1,1.4666,3.6918,6
85,0,1.8841,2.4940,6
85,1,1.5398,5.4940,4
86,0,1.4765,3.5946,6
86,1,1.4518,3.8051,4
87,0,1.6961,3.4644,7
87,1,1.3527,3.7846,3
88,0,1.5604,3.9824,5
88,1,1.5541,2.9988,5
89,0,1.5380,2.9531,6
89,1,1.4927,4.7414,4
90,0,1.5843,3.5100,6
90,1,1.6946,3.9556,4
91,0,1.6112,3.3831,7
91,1,1.6082,3.7363,3
92,0,1.6669,4.0211,5
92,1,1.6784,3.1638,5
93,0,1.6521,3.2133,6
93,1,1.6291,4.5673,4
94,0,1.4808,3.4578,6
94,1,1.6977,3.8304,4
95,0,1.9225,3.4642,7
95,1,1.6116,3.7372,3
96,0,1.5561,3.9271,5
96,1,1.8179,3.2536,5
97,0,1.6260,2.9440,6
97,1,1.6358,4.5241,4
98,0,1.5043,3.5149,6
98,1,1.6249,3.7266,4
99,0,1.5383,3.4475,7
99,1,1.6005,3.7405,3
100,0,1.5879,4.0017,5
100,1,1.4981,3.3032,5
