round,client_id,loss,comm_time,epoch
1,0,2.3015,3.9062,5
1,1,2.3357,4.8684,5
2,0,2.2930,3.4550,5
2,1,2.4013,4.7263,5
3,0,2.3721,3.3963,5
3,1,2.4842,4.7259,5
4,0,1.9526,3.3578,5
4,1,2.4334,4.6390,5
5,0,2.6072,3.1197,5
5,1,2.2509,4.5173,5
6,0,2.2990,3.0418,5
6,1,2.2422,4.9535,5
7,0,1.9636,3.0399,5
7,1,2.3043,4.7092,5
8,0,2.2988,3.0523,5
8,1,2.2803,4.7065,5
9,0,2.5646,3.0767,5
9,1,2.4833,4.6468,5
10,0,2.2831,3.0868,5
10,1,2.5337,4.7751,5
11,0,2.3019,3.0974,5
11,1,2.2487,4.5366,5
12,0,2.1793,3.2017,5
12,1,2.4451,4.6547,5
13,0,2.3545,3.0980,5
13,1,2.1973,4.5530,5
14,0,2.3666,3.0912,5
14,1,2.2080,4.9609,5
15,0,2.0994,3.2444,5
15,1,2.0697,4.6051,5
16,0,1.9622,3.0909,5
16,1,2.1155,4.8226,5
17,0,2.0098,3.1106,5
17,1,2.3964,4.5795,5
18,0,2.1444,3.0947,5
18,1,2.2291,4.6170,5
19,0,1.8712,3.0602,5
19,1,2.2060,4.6391,5
20,0,1.9233,3.0796,5
20,1,2.0311,4.6837,5
21,0,2.0437,3.0748,5
21,1,2.0836,4.5732,5
22,0,2.0642,3.0787,5
22,1,2.0950,4.7364,5
23,0,1.6918,3.1155,5
23,1,2.0209,4.5328,5
24,0,1.9342,3.1358,5
24,1,1.9624,4.6741,5
25,0,2.0703,3.1413,5
25,1,1.9755,4.5442,5
26,0,2.1058,3.1177,5
26,1,1.8938,5.1682,5
27,0,2.1675,3.2361,5
27,1,1.9410,5.3177,5
28,0,1.7950,3.1331,5
28,1,1.9074,5.3224,5
29,0,1.7227,3.0883,5
29,1,1.7579,5.6073,5
30,0,2.0092,3.0575,5
30,1,1.6859,5.3477,5
31,0,1.7910,3.0536,5
31,1,1.7589,5.2786,5
32,0,2.1011,3.1040,5
32,1,1.8040,5.4886,5
33,0,1.9767,3.0946,5
33,1,1.7631,5.3153,5
34,0,1.6307,3.1065,5
34,1,1.9568,4.9299,5
35,0,1.6374,3.0849,5
35,1,1.7183,4.8371,5
36,0,1.8896,3.0806,5
36,1,1.7006,4.6131,5
37,0,1.8599,3.0447,5
37,1,1.6097,4.7522,5
38,0,2.0156,3.1055,5
38,1,1.7162,4.5731,5
39,0,1.7200,3.1066,5
39,1,1.8386,4.6934,5
40,0,1.7997,3.0925,5
40,1,1.6699,5.0074,5
41,0,1.7624,3.0742,5
41,1,1.6267,4.6833,5
42,0,1.7369,3.0557,5
42,1,1.7155,4.9007,5
43,0,2.0509,3.0253,5
43,1,1.5982,4.5727,5
44,0,1.9757,3.2145,5
44,1,1.9051,4.8355,5
45,0,1.7903,3.2221,5
45,1,1.6435,4.6717,5
46,0,1.8481,3.2685,5
46,1,1.8476,4.6106,5
47,0,1.6749,3.1589,5
47,1,1.7259,4.6740,5
48,0,1.5246,3.2661,5
48,1,1.5690,4.6159,5
49,0,1.5534,3.2345,5
49,1,1.7118,4.6135,5
50,0,1.6119,3.1171,5
50,1,1.8288,4.7377,5
51,0,1.6189,3.1033,5
51,1,1.4900,4.7073,5
52,0,1.6833,3.3329,5
52,1,1.6974,4.5959,5
53,0,1.7186,3.0889,5
53,1,1.8104,4.6219,5
54,0,1.7392,3.0304,5
54,1,1.5523,4.5977,5
55,0,1.6890,3.0769,5
55,1,1.7290,4.6395,5
56,0,1.7535,3.0687,5
56,1,1.5669,4.6967,5
57,0,1.6761,3.0765,5
57,1,1.7969,4.7113,5
58,0,1.6014,3.1609,5
58,1,1.7670,4.5721,5
59,0,1.7383,3.1351,5
59,1,1.7439,4.6865,5
60,0,1.6985,3.0494,5
60,1,1.4954,4.7163,5
61,0,1.7262,3.1247,5
61,1,1.6367,4.6024,5
62,0,1.6795,3.0958,5
62,1,1.5010,4.7988,5
63,0,1.5823,3.2387,5
63,1,1.7213,4.6787,5
64,0,1.6138,3.1411,5
64,1,1.5913,4.5529,5
65,0,1.6443,3.1182,5
65,1,1.5532,5.0860,5
66,0,1.6628,3.0892,5
66,1,1.5402,5.6414,5
67,0,1.5163,3.0285,5
67,1,1.5770,5.6759,5
68,0,1.7055,3.1967,5
68,1,1.6402,5.6730,5
69,0,1.6119,3.1162,5
69,1,1.6920,5.4430,5
70,0,1.6217,2.9772,5
70,1,1.7408,5.3547,5
71,0,1.8210,3.0935,5
71,1,1.6343,5.3231,5
72,0,1.5471,3.1661,5
72,1,1.5404,5.3894,5
73,0,1.7024,3.0265,5
73,1,1.5345,5.2433,5
74,0,1.4686,3.1370,5
74,1,1.5923,4.8409,5
75,0,1.5405,3.2088,5
75,1,1.6811,4.5511,5
76,0,1.6944,3.1642,5
76,1,1.5240,4.6800,5
77,0,1.8135,3.1142,5
77,1,1.7099,4.5381,5
78,0,1.5986,3.0159,5
78,1,1.3957,4.6121,5
79,0,1.6012,3.1027,5
79,1,1.5744,4.6282,5
80,0,1.3475,3.1713,5
80,1,1.3676,4.6086,5
81,0,1.5783,3.1891,5
81,1,1.5741,4.5361,5
82,0,1.5281,3.1061,5
82,1,1.5389,4.7021,5
83,0,1.6181,3.0835,5
83,1,1.4729,4.6253,5
84,0,1.6616,3.1044,5
84,1,1.6464,4.7140,5
85,0,1.6121,3.1425,5
85,1,1.5218,4.6229,5
86,0,1.3424,3.0679,5
86,1,1.6838,4.5724,5
87,0,1.7926,3.1692,5
87,1,1.7014,4.6073,5
88,0,1.4987,3.1601,5
88,1,1.4765,4.7085,5
89,0,1.5321,3.1304,5
89,1,1.6326,4.6287,5
90,0,1.6499,3.0291,5
90,1,1.3516,4.7014,5
91,0,1.6120,3.1832,5
91,1,1.7082,4.6809,5
92,0,1.5995,3.0839,5
92,1,1.7300,4.6218,5
93,0,1.5689,3.0787,5
93,1,1.4275,4.8052,5
94,0,1.6329,3.0646,5
94,1,1.5802,4.6252,5
95,0,1.4010,3.0715,5
95,1,1.4235,4.5881,5
96,0,1.4955,3.0756,5
96,1,1.5619,4.6860,5
97,0,1.4741,3.1030,5
97,1,1.5781,4.6647,5
98,0,1.4796,3.0294,5
98,1,1.3781,4.9379,5
99,0,1.5835,3.0527,5
99,1,1.5565,4.7142,5
100,0,1.4316,3.5096,5
100,1,1.4953,4.5667,5
