round,time_sec
1,11.8776
2,5.5400
3,5.1893
4,5.1034
5,4.9534
6,5.4033
7,5.1267
8,5.3423
9,4.8835
10,5.2343
11,4.9570
12,5.1015
13,5.0421
14,5.3920
15,5.0180
16,5.3501
17,4.9913
18,5.0720
19,5.1801
20,5.0637
21,5.0100
22,5.1509
23,5.0126
24,5.1014
25,4.9882
26,5.6254
27,5.8279
28,5.8211
29,6.2100
30,5.6496
31,5.6931
32,6.2334
33,6.1257
34,5.3646
35,5.2830
36,5.0962
37,5.1888
38,5.2349
39,5.0768
40,5.4599
41,5.1245
42,5.3766
43,5.1656
44,5.1509
45,5.1098
46,5.0495
47,5.1328
48,5.1494
49,5.0478
50,5.3298
51,5.0947
52,5.1134
53,5.0871
54,5.0605
55,5.0966
56,5.4320
57,4.8719
58,5.0214
59,5.1374
60,5.1375
61,5.0358
62,5.2314
63,5.1415
64,4.9992
65,5.6732
66,6.0280
67,6.1403
68,6.1100
69,5.9171
70,5.7955
71,5.8027
72,5.9528
73,5.9042
74,5.0841
75,5.0668
76,5.0593
77,4.9357
78,5.0703
79,5.0612
80,5.0478
81,4.9585
82,5.1502
83,5.0397
84,5.1861
85,5.0657
86,4.9977
87,5.0779
88,5.1665
89,5.0635
90,5.1617
91,5.1139
92,5.0684
93,5.2641
94,5.6325
95,5.1935
96,5.2140
97,5.0004
98,5.3952
99,5.1776
100,4.5627
